SYMBOL,STOCK NAME,LISTING DATE
BHARATCOAL.NS,BHARAT COKING COAL LIMITED,2026-01-19
BHARATFORG.NS,BHARAT FORGE LIMITED,2003-04-04
BHARATGEAR.NS,BHARAT GEARS LIMITED,1996-04-03
BHARATRAS.NS,BHARAT RASAYAN LIMITED,1995-10-11
BHARATSE.NS,BHARAT SEATS LIMITED,2025-03-24
BHARATWIRE.NS,BHARAT WIRE ROPES LIMITED,2016-04-01
BHARTIARTL.NS,BHARTI AIRTEL LIMITED,2002-02-15
BHARTIHEXA.NS,BHARTI HEXACOM LIMITED,2024-04-12
BHEL.NS,BHARAT HEAVY ELECTRICALS LIMITED,2003-11-11
BI.NS,BILCARE LIMITED,2026-04-20
BIGBLOC.NS,BIGBLOC CONSTRUCTION LIMITED,2016-09-02
BIKAJI.NS,BIKAJI FOODS INTERNATIONAL LIMITED,2022-11-16
BIL.NS,BHARTIYA INTERNATIONAL LIMITED,2000-04-12
BILVYAPAR.NS,BIL VYAPAR LIMITED,2006-09-27
BIMETAL.NS,BIMETAL BEARINGS LIMITED,2026-04-20
BIOCON.NS,BIOCON LIMITED,2004-04-07
BIOFILCHEM.NS,BIOFIL CHEMICALS & PHARMACEUTICALS LIMITED,1996-06-12
BIRLACABLE.NS,BIRLA CABLE LIMITED,1995-12-06
BIRLACORPN.NS,BIRLA CORPORATION LIMITED,1995-04-12
BIRLAMONEY.NS,ADITYA BIRLA MONEY LIMITED,2008-02-07
BIRLANU.NS,BIRLANU LIMITED,1995-04-26
BIRLAPREC.NS,BIRLA PRECISION TECHNOLOGIES LIMITED,2026-04-20
BLACKBUCK.NS,BLACKBUCK LIMITED,2024-11-22
BLACKROSE.NS,BLACK ROSE INDS. LIMITED,2026-04-20
BLAL.NS,BEML LAND ASSETS LIMITED,2023-04-19
BLBLIMITED.NS,BLB LIMITED,2000-05-31
BLIL.NS,BALMER LAWRIE INVESTMENTS LIMITED,2026-04-20
BLISSGVS.NS,BLISS GVS PHARMA LIMITED,2010-07-26
BLKASHYAP.NS,B. L. KASHYAP AND SONS LIMITED,2006-03-17
BLS.NS,BLS INTERNATIONAL SERVICES LIMITED,2016-06-14
BLSE.NS,BLS E-SERVICES LIMITED,2024-02-06
BLUECOAST.NS,BLUE COAST HOTELS LIMITED,2000-02-16
BLUEDART.NS,BLUE DART EXPRESS LIMITED,2002-12-12
BLUEJET.NS,BLUE JET HEALTHCARE LIMITED,2023-11-01
BLUESTARCO.NS,BLUE STAR LIMITED,2000-06-15
BLUESTONE.NS,BLUESTONE JEWELLERY AND LIFESTYLE LIMITED,2025-08-19
BLUSPRING.NS,BLUSPRING ENTERPRISES LIMITED,2025-06-11
BMWVENTLTD.NS,BMW VENTURES LIMITED,2025-10-01
BNAGROCHEM.NS,BN AGROCHEM LIMITED,2026-04-20
BNALTD.NS,B & A LIMITED,2026-04-20
BODALCHEM.NS,BODAL CHEMICALS LIMITED,2011-08-22
BOHRAIND.NS,BOHRA INDUSTRIES LIMITED,2022-10-27
BOMDYEING.NS,BOMBAY DYEING & MFG COMPANY LIMITED,1995-04-26
BONLON.NS,BONLON INDUSTRIES LIMITED,2026-02-20
BORANA.NS,BORANA WEAVES LIMITED,2025-05-27
BOROLTD.NS,BOROSIL LIMITED,2020-07-22
BORORENEW.NS,BOROSIL RENEWABLES LIMITED,2018-05-25
BOROSCI.NS,BOROSIL SCIENTIFIC LIMITED,2024-06-07
BOSCH-HCIL.NS,BOSCH HOME COMFORT INDIA LIMITED,2000-01-03
BOSCHLTD.NS,BOSCH LIMITED,2003-05-12
BPCL.NS,BHARAT PETROLEUM CORPORATION LIMITED,1995-09-13
BPL.NS,BPL LIMITED,1995-06-14
BRIGADE.NS,BRIGADE ENTERPRISES LIMITED,2007-12-31
BRIGHOTEL.NS,BRIGADE HOTEL VENTURES LIMITED,2025-07-31
BRITANNIA.NS,BRITANNIA INDUSTRIES LIMITED,1998-11-05
BRNL.NS,BHARAT ROAD NETWORK LIMITED,2017-09-18
BROOKS.NS,BROOKS LABORATORIES LIMITED,2011-09-05
BSE.NS,BSE LIMITED,2017-02-03
BSHSL.NS,BOMBAY SUPER HYBRID SEEDS LIMITED,2020-10-28
BSL.NS,BSL LIMITED,1995-07-27
BSOFT.NS,BIRLASOFT LIMITED,1999-11-24
BTML.NS,BODHI TREE MULTIMEDIA LIMITED,2023-02-15
BTTL.NS,BHILWARA TECHNICAL TEXTILES LIMITED,2026-04-20
BUILDPRO.NS,SHANKARA BUILDPRO LIMITED,2026-01-09
BUTTERFLY.NS,BUTTERFLY GANDHIMATHI APPLIANCES LIMITED,2014-04-28
BVCL.NS,BARAK VALLEY CEMENTS LIMITED,2007-11-23
BYKE.NS,THE BYKE HOSPITALITY LTD,2015-04-15
CALSOFT.NS,CALIFORNIA SOFTWARE COMPANY LIMITED,2000-06-28
CAMLINFINE.NS,CAMLIN FINE SCIENCES LIMITED,2015-01-20
CAMPUS.NS,CAMPUS ACTIVEWEAR LIMITED,2022-05-09
